Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,7e:45:58:1d:fb:e8,802.11n,5GHz,1,-82,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,7e:45:58:1e:f8:ff,802.11ac,2.4GHz,40,-75,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a8:9d:21:5f:51:ff,802.11ac,2.4GHz,52,-79,40,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a0:0f:37:4c:09:ef,802.11ac,2.4GHz,132,-92,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,a0:0f:37:4c:7b:0d,802.11ac,2.4GHz,108,-83,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,82:45:58:22:19:9e,802.11ac,2.4GHz,40,-85,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,26:5a:4c:b5:7d:0e,802.11ac,2.4GHz,40,-89,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,7e:45:58:1d:f8:ff,802.11n,5GHz,6,-63,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_7a93,de:03:98:c7:7a:93,802.11n,5GHz,11,-79,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a0:0f:37:4c:7b:00,802.11n,5GHz,1,-78,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,7e:45:58:21:19:4a,802.11n,5GHz,1,-78,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Yarraton-RS,f4:92:bf:cd:73:0e,802.11n,5GHz,1,-85,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,82:45:58:21:05:d4,802.11n,5GHz,1,-78,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,eduroam,08:cc:68:b4:af:4e,802.11ac,2.4GHz,100,-94,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,SDN-5,f2:9e:38:70:b8:95,802.11ac,2.4GHz,161,-84,80,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a8:9d:21:5f:51:f3,802.11n,5GHz,6,-83,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,08:cc:68:b5:c7:e3,802.11n,5GHz,1,-86,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,7e:45:58:21:05:d4,802.11n,5GHz,1,-83,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,08:cc:68:b4:92:2c,802.11ac,2.4GHz,40,-90,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,WirelessNetwork,ea:9e:38:70:b8:95,802.11ac,2.4GHz,161,-84,80,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,a8:9d:21:5f:4c:9c,802.11ac,2.4GHz,52,-92,40,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,a8:9d:21:5c:c2:fb,802.11ac,2.4GHz,132,-87,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,86:45:58:22:14:96,802.11ac,2.4GHz,48,-89,40,-94,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,78:45:58:21:19:4a,802.11n,5GHz,1,-78,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_d50a,de:03:98:9f:d5:0a,802.11n,5GHz,11,-83,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a0:0f:37:4c:9f:8f,802.11ac,2.4GHz,112,-91,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,86:45:58:1e:f8:ff,802.11ac,2.4GHz,40,-75,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,78:45:58:21:05:d4,802.11n,5GHz,1,-70,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a0:0f:37:4c:7b:03,802.11n,5GHz,1,-77,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_7675,fa:b9:5a:3e:76:75,802.11n,5GHz,11,-81,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,SDN-Staff,fe:9e:38:70:b8:95,802.11ac,2.4GHz,161,-84,80,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,NC Admin,d8:38:fc:4b:22:ec,802.11ac,2.4GHz,52,-82,20,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,82:45:58:1d:fb:e8,802.11n,5GHz,1,-80,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a8:9d:21:5f:4c:91,802.11n,5GHz,11,-77,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,eduroam,a8:9d:21:5c:c2:ff,802.11ac,2.4GHz,132,-85,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,a0:0f:37:4c:09:ed,802.11ac,2.4GHz,132,-91,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a8:9d:21:5c:c2:fe,802.11ac,2.4GHz,132,-86,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a8:9d:21:5c:c2:f1,802.11n,5GHz,1,-75,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,24:5a:4c:95:79:fd,802.11n,5GHz,11,-88,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,SDN,fa:9e:38:70:b8:95,802.11ac,2.4GHz,161,-83,80,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,7e:45:58:1e:ea:02,802.11ac,2.4GHz,48,-91,40,-94,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,86:45:58:22:19:9e,802.11ac,2.4GHz,40,-86,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Jonathan's Wi-Fi Network,90:72:40:25:07:e0,802.11n,5GHz,6,-78,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_ea7e,de:03:98:9f:ea:7e,802.11n,5GHz,11,-83,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Guest,26:5a:4c:a5:79:fd,802.11n,5GHz,11,-82,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Warrane Staff,78:45:58:21:18:b7,802.11n,5GHz,6,-81,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,_Superloop-NewCollege5Ghz,d8:38:fc:cb:22:ec,802.11ac,2.4GHz,52,-82,20,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a0:0f:37:4c:9f:8c,802.11ac,2.4GHz,112,-91,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,uniwide,a0:0f:37:4c:7b:0f,802.11ac,2.4GHz,108,-85,40,-93,129.94.8.23,5.98
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,1c:e6:c7:5b:89:3d,802.11n,2.4GHz,48,-90,40,-94,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,82:45:58:22:14:96,802.11ac,2.4GHz,48,-88,40,-94,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,eduroam,a0:0f:37:4c:09:ee,802.11ac,2.4GHz,132,-90,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,08:cc:68:b5:c7:ec,802.11ac,2.4GHz,132,-89,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a8:9d:21:5c:c2:fc,802.11ac,2.4GHz,132,-87,40,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_8f49,de:03:98:c7:8f:49,802.11n,5GHz,11,-86,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,RetailInternetBusiness,d4:20:b0:2e:ab:24,802.11ax,2.4GHz,100,-92,20,-92,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a0:0f:37:4c:7b:0c,802.11ac,2.4GHz,108,-83,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a8:9d:21:5f:51:fc,802.11ac,2.4GHz,52,-75,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,eduroam,a8:9d:21:5f:51:fe,802.11ac,2.4GHz,52,-83,40,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a0:0f:37:4c:09:ec,802.11ac,2.4GHz,132,-91,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,UNSW Guest,a8:9d:21:5f:4c:9d,802.11ac,2.4GHz,52,-92,40,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,82:45:58:22:0c:e6,802.11ac,2.4GHz,48,-89,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,HA Staff,82:45:58:1e:f8:ff,802.11ac,2.4GHz,40,-75,40,-93,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_2275,26:e8:53:38:22:75,802.11n,5GHz,11,-77,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_2275,26:e8:53:38:22:75,802.11n,5GHz,11,-77,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,AT_401_RAC_056905_WW_833b,fa:b9:5a:57:83:3b,802.11n,5GHz,11,-84,20,-86,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,Global_Students,a8:9d:21:5f:51:fd,802.11ac,2.4GHz,52,-77,40,-91,,
1697156095,MACOS,Airport,-33.91895910116628,151.2270312059495,5.830951894845301,eduroam,a0:0f:37:4c:7b:0e,802.11ac,2.4GHz,108,-83,40,-93,,
