Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697167590,MACOS,Airport,,,,Cafe@new,f4:92:bf:cd:75:1e,,5GHz,6,-85,20,-83,,
1697167590,MACOS,Airport,,,,Superloop-New College,d8:38:fc:34:90:68,,5GHz,2,-81,20,-84,,
1697167590,MACOS,Airport,,,,Warrane Guest,82:45:58:1d:f4:ae,,5GHz,6,-87,20,-79,,
1697167590,MACOS,Airport,,,,AT_401_RAC_056905_WW_f74c,de:03:98:c6:f7:4c,,5GHz,11,-41,20,-83,,
1697167590,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:f0,,5GHz,1,-73,20,-84,,
1697167590,MACOS,Airport,,,,eduroam,08:cc:68:b4:9e:3f,,2.4GHz,132,-86,40,-92,,
1697167590,MACOS,Airport,,,,Superloop-New College,d8:38:fc:1f:13:dc,,2.4GHz,104,-88,20,-94,,
1697167590,MACOS,Airport,,,,uniwide,a8:9d:21:5f:4c:91,,5GHz,1,-53,20,-84,,
1697167590,MACOS,Airport,,,,uniwide,a0:0f:37:4c:7b:0f,,2.4GHz,108,-90,40,-95,129.94.8.23,timeout
1697167601,MACOS,Airport,,,,Superloop-New College,d8:38:fc:0f:21:ec,,2.4GHz,136,-85,20,-94,,
1697167601,MACOS,Airport,,,,AT_401_RAC_056905_WW_7640,fa:b9:5a:3e:76:40,,5GHz,11,-70,20,-79,,
1697167601,MACOS,Airport,,,,NC Admin,d8:38:fc:5f:18:38,,5GHz,8,-73,20,-82,,
1697167601,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:09:ec,,2.4GHz,132,-81,40,-94,,
1697167601,MACOS,Airport,,,,Global_Students,d0:72:dc:53:60:8b,,2.4GHz,108,-94,40,-90,,
1697167601,MACOS,Airport,,,,Print,86:45:58:1d:ff:f6,,5GHz,1,-81,20,-83,,
1697167601,MACOS,Airport,,,,NC Admin,d8:38:fc:74:90:68,,5GHz,2,-80,20,-84,,
1697167601,MACOS,Airport,,,,Global_Students,08:cc:68:b4:af:4d,,2.4GHz,100,-87,40,-94,,
1697167601,MACOS,Airport,,,,NC Admin,d8:38:fc:5f:18:4c,,2.4GHz,44,-86,20,-94,,
1697167601,MACOS,Airport,,,,eduroam,08:cc:68:b4:af:4e,,2.4GHz,100,-89,40,-93,,
1697167601,MACOS,Airport,,,,uniwide,08:cc:68:b4:af:4f,,2.4GHz,100,-86,40,-93,,
1697167601,MACOS,Airport,,,,uniwide,a8:9d:21:5f:4c:9e,,2.4GHz,52,-69,40,-94,,
1697167601,MACOS,Airport,,,,_Superloop-NewCollege5Ghz,d8:38:fc:f4:90:2c,,2.4GHz,44,-69,20,-95,,
1697167601,MACOS,Airport,,,,AT_401_RAC_056905_WW_9a41,de:03:98:c7:9a:41,,5GHz,11,-58,20,-79,,
1697167601,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:60:c3,,5GHz,6,-88,20,-83,,
1697167601,MACOS,Airport,,,,AT_401_RAC_056905_WW_d4c0,de:03:98:9f:d4:c0,,5GHz,11,-69,20,-83,,
