Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697070799,MACOS,Airport,,,,uniwide,7c:0e:ce:dc:5d:0e,,2.4GHz,52,-87,40,-89,,
1697070799,MACOS,Airport,,,,uniwide,a0:0f:37:4c:9f:80,,5GHz,11,-78,20,-85,,
1697070799,MACOS,Airport,,,,uniwide,a8:9d:21:5f:51:ff,,2.4GHz,44,-84,40,-89,,
1697070799,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:e0:1f:2c,,2.4GHz,52,-88,40,-89,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_1ece,26:e8:53:38:1e:ce,,5GHz,11,-83,20,-85,,
1697070799,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:51:dc,,2.4GHz,52,-86,40,-89,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_866b,fa:b9:5a:cb:86:6b,,5GHz,11,-80,20,-85,,
1697070799,MACOS,Airport,,,,Guest-Shalom,84:18:3a:98:5c:2c,,2.4GHz,44,-91,20,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b5:f2:94,,5GHz,11,-78,20,-85,,
1697070799,MACOS,Airport,,,,Shalom-staff,84:18:3a:d8:5c:28,,5GHz,11,-76,20,-85,,
1697070799,MACOS,Airport,,,,ANFF_STAFF,9a:a6:7e:57:21:67,,2.4GHz,157,-82,80,-92,,
1697070799,MACOS,Airport,,,,Global_Students,1c:e6:c7:e0:1f:2b,,2.4GHz,52,-87,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,08:cc:68:b4:9e:3f,,2.4GHz,52,-89,40,-89,,
1697070799,MACOS,Airport,,,,UNSW Guest,7c:0e:ce:de:50:dd,,2.4GHz,44,-87,40,-89,,
1697070799,MACOS,Airport,,,,uniwide,70:db:98:66:0e:0e,,2.4GHz,36,-87,40,-89,,
1697070799,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:da:be,,2.4GHz,52,-89,40,-89,,
1697070799,MACOS,Airport,,,,Warrane Staff,7e:45:58:22:06:91,,2.4GHz,44,-90,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:81:1b,,2.4GHz,149,-86,40,-93,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_9285,de:03:98:c7:92:85,,5GHz,11,-81,20,-85,,
1697070799,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5c:c2:f3,,5GHz,1,-58,20,-85,,
1697070799,MACOS,Airport,,,,Global_Students,a8:9d:21:5c:c2:fb,,2.4GHz,132,-78,40,-91,,
1697070799,MACOS,Airport,,,,uniwide,a0:0f:37:4c:9f:8f,,2.4GHz,108,-87,40,-92,,
1697070799,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:db:74,,2.4GHz,44,-91,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:e6:8d,,2.4GHz,52,-88,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:54:cb,,2.4GHz,36,-89,40,-92,,
1697070799,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:7f:7c,,2.4GHz,52,-83,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:9e:3b,,2.4GHz,52,-89,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:9f:8d,,2.4GHz,108,-87,40,-92,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:9e:34,,5GHz,1,-81,20,-85,,
1697070799,MACOS,Airport,,,,Warrane Guest,86:45:58:22:06:91,,2.4GHz,44,-90,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:da:bb,,2.4GHz,52,-89,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:58:1b,,2.4GHz,100,-81,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:ff,,2.4GHz,132,-78,40,-91,,
1697070799,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:09:ed,,2.4GHz,132,-89,40,-88,,
1697070799,MACOS,Airport,,,,eduroam,7c:0e:ce:de:50:df,,2.4GHz,44,-86,40,-89,,
1697070799,MACOS,Airport,,,,uniwide,a8:9d:21:5c:c2:fe,,2.4GHz,132,-78,40,-91,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_0b7c,26:e8:53:38:0b:7c,,5GHz,11,-79,20,-85,,
1697070799,MACOS,Airport,,,,uniwide,a8:9d:21:5c:c2:f1,,5GHz,1,-56,20,-85,,
1697070799,MACOS,Airport,,,,Global_Students,7c:0e:ce:de:50:dc,,2.4GHz,44,-87,40,-89,,
1697070799,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:e6:8c,,2.4GHz,52,-88,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,7c:0e:ce:dc:5d:00,,5GHz,6,-82,20,-82,,
1697070799,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:db:73,,2.4GHz,44,-91,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,08:cc:68:b4:58:10,,5GHz,6,-70,20,-82,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b5:c7:e4,,5GHz,1,-77,20,-85,,
1697070799,MACOS,Airport,,,,eduroam,08:cc:68:b4:7f:7f,,2.4GHz,52,-80,40,-93,,
1697070799,MACOS,Airport,,,,uniwide,08:cc:68:b4:7f:7e,,2.4GHz,52,-84,40,-89,,
1697070799,MACOS,Airport,,,,HA Staff,82:45:58:22:06:91,,2.4GHz,44,-90,40,-89,,
1697070799,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:9f:8c,,2.4GHz,108,-87,40,-92,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_dae1,de:03:98:9f:da:e1,,5GHz,11,-85,20,-85,,
1697070799,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:da:bf,,2.4GHz,52,-89,40,-89,,
1697070799,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:58:1c,,2.4GHz,100,-81,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:f0,,5GHz,1,-57,20,-85,,
1697070799,MACOS,Airport,,,,Galaxy S22 Ultra4E4A,26:3e:6a:47:ab:90,,5GHz,11,-76,20,-85,,
1697070799,MACOS,Airport,,,,Global_Students,a8:9d:21:5c:c2:f4,,5GHz,1,-78,20,-82,,
1697070799,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:89:3f,,2.4GHz,149,-88,40,-93,,
1697070799,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:db:2f,,2.4GHz,64,-89,40,-93,,
1697070799,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:da:b4,,5GHz,1,-78,20,-85,,
1697070799,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:5f:d3,,5GHz,11,-89,20,-82,,
1697070799,MACOS,Airport,,,,uniwide,08:cc:68:b5:f2:91,,5GHz,11,-77,20,-85,,
1697070799,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:db:26,,2.4GHz,64,-83,40,-91,129.94.8.23,31.984
1697070799,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5c:c2:fc,,2.4GHz,132,-77,40,-91,,
1697070799,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:54:cc,,2.4GHz,36,-78,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,08:cc:68:b4:58:14,,5GHz,6,-72,20,-82,,
1697070799,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5f:51:fc,,2.4GHz,44,-82,40,-89,,
1697070799,MACOS,Airport,,,,eduroam,a8:9d:21:5f:51:fe,,2.4GHz,44,-82,40,-89,,
1697070799,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:db:23,,2.4GHz,64,-81,40,-93,,
1697070799,MACOS,Airport,,,,AT_401_RAC_056905_WW_bc39,de:03:98:d5:bc:39,,5GHz,11,-75,20,-85,,
1697070799,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:db:77,,2.4GHz,44,-92,40,-89,,
1697070799,MACOS,Airport,,,,uniwide,1c:e6:c7:0d:6a:16,,2.4GHz,56,-86,40,-89,,
