Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1696995873,MACOS,Airport,,,,HA Staff,7e:45:58:21:00:17,,5GHz,6,-72,20,-86,,
1696995873,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:7b:0c,,2.4GHz,104,-77,40,-94,,
1696995873,MACOS,Airport,,,,eduroam,08:cc:68:b5:c7:ef,,2.4GHz,64,-87,40,-90,,
1696995873,MACOS,Airport,,,,Warrane Guest,82:45:58:21:18:f3,,5GHz,6,-69,20,-84,,
1696995873,MACOS,Airport,,,,Warrane Guest,82:45:58:21:19:9e,,5GHz,6,-77,20,-80,,
1696995873,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:5f:dc,,2.4GHz,112,-81,40,-93,,
1696995873,MACOS,Airport,,,,eduroam,a0:0f:37:4c:09:ee,,2.4GHz,132,-89,40,-93,,
1696995873,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:ff,,2.4GHz,132,-87,40,-93,,
1696995873,MACOS,Airport,,,,eduroam,08:cc:68:b4:52:2f,,2.4GHz,149,-86,40,-95,,
1696995873,MACOS,Airport,,,,Warrane Guest,82:45:58:21:05:35,,5GHz,1,-81,20,-89,,
1696995873,MACOS,Airport,,,,Global_Students,08:cc:68:b4:5f:db,,2.4GHz,112,-88,40,-94,,
1696995873,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:58:1c,,2.4GHz,100,-85,40,-91,,
1696995873,MACOS,Airport,,,,Warrane Guest,82:45:58:1d:f3:9f,,5GHz,11,-71,20,-88,,
1696995873,MACOS,Airport,,,,Warrane Staff,7e:45:58:22:18:f3,,2.4GHz,36,-80,40,-93,,
1696995873,MACOS,Airport,,,,Warrane Guest,86:45:58:22:00:17,,2.4GHz,40,-78,40,-92,,
1696995873,MACOS,Airport,,,,uniwide,a0:0f:37:4c:9f:8f,,2.4GHz,108,-92,40,-93,,
1696995873,MACOS,Airport,,,,Warrane Guest,86:45:58:22:19:9e,,2.4GHz,40,-84,40,-94,,
1696995873,MACOS,Airport,,,,Global_Students,a8:9d:21:5c:c2:fb,,2.4GHz,132,-84,40,-93,,
1696995873,MACOS,Airport,,,,Shalom-staff,d8:38:fc:b9:a2:9c,,2.4GHz,52,-82,20,-94,,
