BSSID,Protocol
00:b7:71:16:e9:00,802.11n
00:b7:71:16:e9:0f,802.11ac
00:ea:bd:e3:b3:50,802.11n
00:ea:bd:e3:b9:bf,802.11ac
00:ea:bd:e3:c0:0f,802.11ac
00:ea:bd:e3:c0:b0,802.11n
00:ea:bd:e3:c0:bf,802.11ac
08:cc:68:b4:98:0e,802.11ac
08:cc:68:b5:ed:3f,802.11ac
1c:d1:e0:56:77:80,802.11n
1c:e6:c7:0d:5c:a7,802.11ac
54:78:1a:bf:a6:e7,802.11ac
a8:9d:21:71:d4:ef,802.11ac
00:b7:71:16:e9:02,802.11n
00:b7:71:16:e9:0d,802.11ac
00:ea:bd:e3:b3:52,802.11n
00:ea:bd:e3:b7:f2,802.11n
00:ea:bd:e3:b9:b2,802.11n
00:ea:bd:e3:b9:bd,802.11ac
00:ea:bd:e3:c0:0d,802.11ac
00:ea:bd:e3:c0:b2,802.11n
00:ea:bd:e3:c0:bd,802.11ac
1c:d1:e0:56:77:83,802.11n
1c:e6:c7:0d:5c:a3,802.11ac
1c:e6:c7:e0:1a:25,802.11ac
a8:9d:21:71:d4:eb,802.11ac
d0:72:dc:3a:fe:cb,802.11ac
d4:c9:3c:c1:aa:2d,802.11ac
94:a6:7e:9e:f0:41,802.11ax
48:d2:4f:53:a4:c2,802.11ac
9c:3d:cf:43:1a:08,802.11ac
00:b7:71:16:e9:01,802.11n
00:b7:71:16:e9:0e,802.11ac
00:ea:bd:e3:b3:51,802.11n
00:ea:bd:e3:b3:5e,802.11ac
00:ea:bd:e3:b7:f1,802.11n
00:ea:bd:e3:b9:b1,802.11n
00:ea:bd:e3:b9:be,802.11ac
00:ea:bd:e3:c0:01,802.11n
00:ea:bd:e3:c0:0e,802.11ac
00:ea:bd:e3:c0:b1,802.11n
00:ea:bd:e3:c0:be,802.11ac
00:ea:bd:e3:c1:31,802.11n
08:cc:68:b5:c5:a1,802.11n
08:cc:68:b5:ed:3e,802.11ac
1c:d1:e0:56:77:82,802.11n
1c:e6:c7:0d:5c:a6,802.11ac
1c:e6:c7:0d:5c:ae,802.11n
1c:e6:c7:f0:20:26,802.11ac
54:78:1a:bf:a6:e6,802.11ac
a8:9d:21:71:d4:ee,802.11ac
a8:9d:21:85:19:ea,802.11ac
d0:72:dc:04:b9:0e,802.11ac
d0:72:dc:3a:fe:ce,802.11ac
00:b7:71:16:e9:03,802.11n
00:b7:71:16:e9:0c,802.11ac
00:ea:bd:e3:b3:53,802.11n
00:ea:bd:e3:b3:5c,802.11ac
00:ea:bd:e3:b7:f3,802.11n
00:ea:bd:e3:b9:bc,802.11ac
00:ea:bd:e3:c0:03,802.11n
00:ea:bd:e3:c0:0c,802.11ac
00:ea:bd:e3:c0:b3,802.11n
00:ea:bd:e3:c0:bc,802.11ac
1c:e6:c7:0d:5c:a4,802.11ac
1c:e6:c7:0d:5c:ac,802.11n
d0:72:dc:04:b9:0c,802.11ac
d0:72:dc:3a:fe:cc,802.11ac
b0:95:75:17:f2:b2,802.11n
08:cc:68:b4:93:ae,802.11ac
08:cc:68:b5:f7:3f,802.11ac
84:78:ac:98:48:47,802.11ac
a8:9d:21:71:d4:e0,802.11n
a8:9d:21:85:19:e1,802.11n
a8:9d:21:85:19:ee,802.11ac
d0:72:dc:04:b9:0f,802.11ac
00:ea:bd:db:d2:42,802.11n
08:cc:68:b5:98:8d,802.11ac
84:78:ac:98:48:45,802.11ac
a0:0f:37:4c:ce:a4,802.11n
a8:9d:21:71:d4:e4,802.11n
d0:72:dc:04:b9:0b,802.11ac
94:a6:7e:9e:f0:61,802.11ax
08:cc:68:b4:7b:ea,802.11ac
08:cc:68:b4:89:05,802.11n
08:cc:68:b4:a1:75,802.11n
08:cc:68:b5:30:9e,802.11ac
08:cc:68:b5:d0:5e,802.11ac
08:cc:68:b5:f7:3e,802.11ac
84:78:ac:98:48:46,802.11ac
a8:9d:21:71:d4:e1,802.11n
a8:9d:21:85:19:e5,802.11n
08:cc:68:b5:30:9c,802.11ac
84:78:ac:98:48:44,802.11ac
a8:9d:21:71:d4:e3,802.11n
a8:9d:21:71:d4:ec,802.11ac
8e:94:08:f4:6f:c9,802.11n
00:ea:bd:db:d2:40,802.11n
08:cc:68:b4:81:2f,802.11ac
08:cc:68:b4:af:ae,802.11ac
08:cc:68:b5:c1:6f,802.11ac
08:cc:68:b5:c5:a0,802.11n
1c:e6:c7:3e:5a:8f,802.11n
1c:e6:c7:5b:21:70,802.11n
1c:e6:c7:5b:21:77,802.11ac
1c:e6:c7:5b:21:7f,802.11n
40:ce:24:9c:96:0f,802.11ac
a8:9d:21:71:b2:50,802.11n
a8:9d:21:71:b2:5f,802.11ac
d0:72:dc:04:b9:00,802.11n
d4:c9:3c:77:9a:50,802.11n
d4:c9:3c:77:9a:5f,802.11ac
08:cc:68:b4:5b:2d,802.11ac
08:cc:68:b4:81:2d,802.11ac
08:cc:68:b5:bd:f2,802.11n
08:cc:68:b5:c1:6b,802.11ac
08:cc:68:b5:c5:ab,802.11ac
08:cc:68:b5:db:9d,802.11ac
1c:e6:c7:5b:21:72,802.11n
1c:e6:c7:5b:21:75,802.11ac
1c:e6:c7:5b:21:7d,802.11n
1c:e6:c7:5b:22:02,802.11n
a8:9d:21:71:b2:5b,802.11ac
d0:72:dc:04:b9:04,802.11n
d4:c9:3c:77:9a:54,802.11n
d4:c9:3c:77:9a:5b,802.11ac
7c:10:c9:02:f3:12,802.11ax
48:d2:4f:53:a4:c1,802.11n
00:ea:bd:db:d2:41,802.11n
08:cc:68:b4:81:2e,802.11ac
08:cc:68:b4:97:8a,802.11ac
08:cc:68:b4:af:aa,802.11ac
08:cc:68:b4:bb:2e,802.11ac
08:cc:68:b5:bd:f1,802.11n
08:cc:68:b5:c1:61,802.11n
1c:e6:c7:3e:5a:8e,802.11n
1c:e6:c7:5b:21:76,802.11ac
1c:e6:c7:5b:21:7e,802.11n
1c:e6:c7:5b:22:01,802.11n
40:ce:24:9c:96:0e,802.11ac
a8:9d:21:71:b2:51,802.11n
a8:9d:21:71:b2:5e,802.11ac
d0:72:dc:04:b9:01,802.11n
d4:c9:3c:77:9a:51,802.11n
d4:c9:3c:77:9a:5e,802.11ac
00:ea:bd:db:d2:43,802.11n
08:cc:68:b4:db:13,802.11n
08:cc:68:b5:35:c3,802.11n
08:cc:68:b5:c1:6c,802.11ac
08:cc:68:b5:c5:ac,802.11ac
08:cc:68:b5:c6:ac,802.11ac
1c:e6:c7:3e:5a:8c,802.11n
1c:e6:c7:5b:21:6c,802.11n
1c:e6:c7:5b:21:74,802.11ac
1c:e6:c7:5b:21:7c,802.11n
1c:e6:c7:5b:22:03,802.11n
1c:e6:c7:5b:22:0c,802.11n
a8:9d:21:71:ae:33,802.11n
a8:9d:21:71:b2:5c,802.11ac
d0:72:dc:04:b9:03,802.11n
d4:c9:3c:77:9a:53,802.11n
d4:c9:3c:77:9a:5c,802.11ac
3e:ad:d7:ce:15:8f,802.11ax
a8:5e:45:9a:d9:90,802.11n
a8:5e:45:9a:d9:94,802.11ac
