SSID,BSSID,Protocol
<HIDDEN>,00:b7:71:16:e9:04,802.11n
<HIDDEN>,00:b7:71:16:e9:05,802.11n
<HIDDEN>,00:b7:71:16:e9:0a,802.11ac
<HIDDEN>,00:b7:71:16:e9:0b,802.11ac
<HIDDEN>,00:ea:bd:e3:b3:54,802.11n
<HIDDEN>,00:ea:bd:e3:b3:5a,802.11ac
<HIDDEN>,00:ea:bd:e3:b9:bb,802.11ac
<HIDDEN>,00:ea:bd:e3:c0:0a,802.11ac
<HIDDEN>,00:ea:bd:e3:c0:0b,802.11ac
<HIDDEN>,00:ea:bd:e3:c0:b4,802.11n
<HIDDEN>,08:cc:68:b5:ed:3a,802.11ac
<HIDDEN>,1c:e6:c7:0d:5c:aa,802.11n
<HIDDEN>,1c:e6:c7:f0:20:23,802.11ac
<HIDDEN>,1c:e6:c7:f0:20:2a,802.11n
<HIDDEN>,4a:d2:4f:53:a4:c3,802.11ac
<HIDDEN>,54:78:1a:bf:6a:b5,802.11n
<HIDDEN>,54:78:1a:bf:a6:e2,802.11ac
<HIDDEN>,a6:17:11:ef:f3:16,802.11ax
<HIDDEN>,a8:9d:21:71:d4:ea,802.11ac
<HIDDEN>,a8:9d:21:71:d4:ed,802.11ac
<HIDDEN>,a8:9d:21:85:19:ef,802.11ac
<HIDDEN>,d0:72:dc:04:b9:0a,802.11ac
<HIDDEN>,d0:72:dc:3a:fe:ca,802.11ac
<HIDDEN>,d0:72:dc:3a:fe:cd,802.11ac
'eduroam',00:b7:71:16:e9:00,802.11n
'eduroam',00:b7:71:16:e9:0f,802.11ac
'eduroam',00:ea:bd:e3:b3:50,802.11n
'eduroam',00:ea:bd:e3:b9:bf,802.11ac
'eduroam',00:ea:bd:e3:c0:0f,802.11ac
'eduroam',00:ea:bd:e3:c0:b0,802.11n
'eduroam',00:ea:bd:e3:c0:bf,802.11ac
'eduroam',08:cc:68:b4:98:0e,802.11ac
'eduroam',08:cc:68:b5:ed:3f,802.11ac
'eduroam',1c:d1:e0:56:77:80,802.11n
'eduroam',1c:e6:c7:0d:5c:a7,802.11ac
'eduroam',54:78:1a:bf:a6:e7,802.11ac
'eduroam',a8:9d:21:71:d4:ef,802.11ac
'Global_Students',00:b7:71:16:e9:02,802.11n
'Global_Students',00:b7:71:16:e9:0d,802.11ac
'Global_Students',00:ea:bd:e3:b3:52,802.11n
'Global_Students',00:ea:bd:e3:b7:f2,802.11n
'Global_Students',00:ea:bd:e3:b9:b2,802.11n
'Global_Students',00:ea:bd:e3:b9:bd,802.11ac
'Global_Students',00:ea:bd:e3:c0:0d,802.11ac
'Global_Students',00:ea:bd:e3:c0:b2,802.11n
'Global_Students',00:ea:bd:e3:c0:bd,802.11ac
'Global_Students',1c:d1:e0:56:77:83,802.11n
'Global_Students',1c:e6:c7:0d:5c:a3,802.11ac
'Global_Students',1c:e6:c7:e0:1a:25,802.11ac
'Global_Students',a8:9d:21:71:d4:eb,802.11ac
'Global_Students',d0:72:dc:3a:fe:cb,802.11ac
'Global_Students',d4:c9:3c:c1:aa:2d,802.11ac
'J17_AV_WAP',94:a6:7e:9e:f0:41,802.11ax
'Optus_53A4BF_5GHz',48:d2:4f:53:a4:c2,802.11ac
'robotics_lab',9c:3d:cf:43:1a:08,802.11ac
'uniwide',00:b7:71:16:e9:01,802.11n
'uniwide',00:b7:71:16:e9:0e,802.11ac
'uniwide',00:ea:bd:e3:b3:51,802.11n
'uniwide',00:ea:bd:e3:b3:5e,802.11ac
'uniwide',00:ea:bd:e3:b7:f1,802.11n
'uniwide',00:ea:bd:e3:b9:b1,802.11n
'uniwide',00:ea:bd:e3:b9:be,802.11ac
'uniwide',00:ea:bd:e3:c0:01,802.11n
